“5G Technology and induction of coronavirus in skin cells,”	https://www.biolifesas.org/biolife/wp-content/uploads/2020/07/FIORANELLI.pdf	N/A
“COVID-19 in Africa and collateral effects on health systems and their immunization programs,”	https://www.sciencedirect.com/science/article/pii/S0264410X20313049	https://doi.org/10.1016/j.vaccine.2020.10.014
“Decrease in Hospitalizations for COVID-19 after Mask Mandates in 1083 U.S. Counties,”	https://www.medrxiv.org/content/10.1101/2020.10.21.20208728v2.article-info https://doi.org/10.1101/2020.10.21.20208728
“Deep learning system to screen coronavirus disease 2019 pneumonia,”	https://link.springer.com/article/10.1007/s10489-020-01714-3 https://doi.org/10.1007/s10489-020-01714-3
“Effectiveness of Surgical and Cotton Masks in Blocking SARS–CoV-2: A Controlled Comparison in 4 Patients,”	https://www.acpjournals.org/doi/10.7326/M20-1342	https://doi.org/10.7326/M20-1342
“Effects of the COVID-19 Pandemic on Stroke Patients,”	https://www.cureus.com/articles/36279-effects-of-the-covid-19-pandemic-on-stroke-patients	https://doi.org/10.7759/cureus.9995
“Emergency Preparedness and COVID-19: A Review of AWWA Policy Statements and Guidance,”	https://awwa.onlinelibrary.wiley.com/doi/10.1002/opfl.1412	https://doi.org/10.1002/opfl.1412
“Epidemiological and clinical features of the 2019 novel coronavirus outbreak in China,”	https://www.medrxiv.org/content/10.1101/2020.02.10.20021675v2	https://doi.org/10.1101/2020.02.10.20021675
“Experience on radiological examinations and infection prevention for COVID-19 in radiology department,”	https://www.sciencedirect.com/science/article/pii/S2352621120300188	https://doi.org/10.1016/j.jrid.2020.03.006
“First viral replication of Covid-19 identified in the peritoneal dialysis fluid,”	https://bdd.rdplf.org/index.php/bdd/article/view/54503	https://doi.org/10.25796/bdd.v3i1.54503
“From SARS-CoV to Wuhan 2019-nCoV Outbreak: Similarity of Early Epidemic and Prediction of Future Trends,”	https://www.biorxiv.org/content/10.1101/2020.01.24.919241v4	https://doi.org/10.1101/2020.01.24.919241
“Homeopathy combat against coronavirus disease (Covid-19),”	https://link.springer.com/article/10.1007/s10389-020-01305-z	https://doi.org/10.1007/s10389-020-01305-z
“Hospital factors associated with SARS-CoV-2 infection among healthcare personnel in Greece,”	https://www.sciencedirect.com/science/article/pii/S0195670120304916 https://doi.org/10.1016/j.jhin.2020.10.010
“Hydroxychloroquine or chloroquine with or without a macrolide for treatment of COVID-19: a multinational registry analysis,”	https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31180-6/fulltext https://doi.org/10.1016/S0140-6736(20)31180-6
“Hydroxychloroquine plus azithromycin: a potential interest in reducing in-hospital morbidity due to COVID-19 pneumonia (HI-ZY-COVID)?”	https://www.medrxiv.org/content/10.1101/2020.05.05.20088757v1 https://doi.org/10.1101/2020.05.05.20088757
“Incidence and mortality of COVID-19 in Iranian multiple sclerosis patients treated with disease-modifying therapies,”	https://www.sciencedirect.com/science/article/pii/S0035378720306603?via%3Dihub#! https://doi.org/10.1016/j.neurol.2020.08.001
“Impact of lockdown and health anxiety during COVID 19 pandemic among inpatients of a psychiatric hospital: an observational study,”	https://www.sciencedirect.com/science/article/pii/S187620182030575X	https://doi.org/10.1016/j.ajp.2020.102462
“Intersectionality and Inequalities in Medical Risk for Severe COVID-19 in the Canadian Longitudinal Study on Aging,”	https://doi.org/10.1093/geront/gnaa143	https://doi.org/10.1093/geront/gnab001
“Intracranial Hemorrhage in COVID-19 Patients on ECMO: Challenges and Future Directions,”	https://www.sciencedirect.com/science/article/pii/S1053077020305164#! https://doi.org/10.1053/j.jvca.2020.06.010
“Ivermectin in COVID-19 Related Critical Illness,”	https://www.isglobal.org/documents/10179/6022921/Patel+et+al.+2020+version+1.pdf/fab19388-dc3e-4593-a075-db96f4536e9d	N/A
“Liver impairment associated with disease progression in COVID‐19 patients,”	https://onlinelibrary.wiley.com/doi/10.1111/liv.14481	https://doi.org/10.1111/liv.14481
“Lung disease severity, Coronary Artery Calcium, Coronary inflammation and Mortality in Coronavirus Disease 2019.”	https://www.medrxiv.org/content/10.1101/2020.05.01.20087114v1?versioned=true https://doi.org/10.1101/2020.05.01.20087114
“Lung ultrasound score in establishing the timing of intubation in COVID-19 interstitial pneumonia: A preliminary retrospective observational study,”	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0238679 https://doi.org/10.1371/journal.pone.0238679
“Managing college operations during the coronavirus outbreak,”	https://www.japha.org/article/S1544-3191(20)30151-5/pdf https://doi.org/10.1016/j.japh.2020.04.004
“Mechanical ventilation in COVID-19: Is it due to patient or virology factors,”	https://www.sciencedirect.com/science/article/pii/S2049080120301473?via%3Dihub	https://doi.org/10.1016/j.amsu.2020.06.008
“Mental health burden for the public affected by the COVID-19 outbreak in China: Who will be the high-risk group?,”	https://www.tandfonline.com/doi/full/10.1080/13548506.2020.1754438	https://doi.org/10.1080/13548506.2020.1754438
“Mental health status and coping strategy of medical workers in China during The COVID-19 outbreak,”	https://www.medrxiv.org/content/10.1101/2020.02.23.20026872v2	https://doi.org/10.1101/2020.02.23.20026872
“Mortality of a pregnant patient diagnosed with COVID-19: A case report with clinical, radiological, and histopathological findings,”	https://www.sciencedirect.com/science/article/pii/S1477893920301332 https://doi.org/10.1016/j.tmaid.2020.101665
“mRNA Vaccines to Prevent COVID-19 Disease and Reported Allergic Reactions: Current Evidence and Approach,”	https://www.sciencedirect.com/science/article/pii/S2213219820314112?via%3Dihub	https://doi.org/10.1016/j.jaip.2020.12.047
“No Deleterious Effect of Lockdown Due to COVID-19 Pandemic on Glycaemic Control, Measured by Glucose Monitoring, in Adults with Type 1 Diabetes,”	https://www.liebertpub.com/doi/10.1089/dia.2020.0184 https://doi.org/10.1089/dia.2020.0184
“Noninvasive versus invasive ventilation: one modality cannot fit all during COVID-19 outbreak,”	https://ekja.org/journal/view.php?number=8663	https://doi.org/10.4097/kja.20227
“Noteworthy Neurological Manifestations Associated With COVID-19 Infection,”	https://www.cureus.com/articles/35846-noteworthy-neurological-manifestations-associated-with-covid-19-infection/retraction	https://doi.org/10.7759/cureus.r26
“Nurses reports of actual work hours and preferred work hours per shift among frontline nurses during coronavirus disease 2019 (COVID-19) epidemic: A cross-sectional survey,”	https://www.sciencedirect.com/science/article/pii/S002074892030119X?via%3Dihub https://doi.org/10.1016/j.ijnurstu.2020.103635
“Obesity and mortality of COVID-19. Meta-analysis,”	https://www.sciencedirect.com/science/article/pii/S1871403X20305500 https://doi.org/10.1016/j.orcp.2020.07.002
“Patterns of COVID-19 Mortality and Vitamin D: An Indonesian Study,”	https://emerginnova.com/patterns-of-covid19-mortality-and-vitamin-d-an-indonesian-study/ N/A
“Phytotherapeutic options for the treatment of COVID‐19: A concise viewpoint,”	https://onlinelibrary.wiley.com/doi/10.1002/ptr.6786 https://doi.org/10.1002/ptr.6786
“Potential False-Positive Rate Among the ‘Asymptomatic Infected Individuals’ in Close Contacts of COVID-19 Patients,”	https://pubmed.ncbi.nlm.nih.gov/32133832/	https://doi.org/10.3760/cma.j.cn112338-20200221-00144
“Proposal for Initiative of Evidence-based Treatment of COVID-19 Patients with Worsening Hypoxia,”	https://pubmed.ncbi.nlm.nih.gov/33026820/	https://doi.org/10.1164/rccm.202009-3684cp
“Psychosis: A Presentation of COVID-19,”	https://www.sciencedirect.com/science/article/pii/S0033318220301900	https://doi.org/10.1016/j.psym.2020.06.004
“Psychiatric Predictors of COVID-19 Outcomes in a Skilled Nursing Facility Cohort”	https://www.medrxiv.org/content/10.1101/2020.05.23.20099671v1?versioned=true https://doi.org/10.1101/2020.05.23.20099671
“Racial Disparity Amongst Stroke Patients During the Coronavirus Disease 2019 Pandemic,”	https://www.cureus.com/articles/38255-racial-disparity-amongst-stroke-patients-during-the-coronavirus-disease-2019-pandemic	https://doi.org/10.7759/cureus.10369
“Review of the Emerging Evidence Demonstrating the Efficacy of Ivermectin in the Prophylaxis & Treatment of COVID-19,”	N/A N/A
“SARS-CoV-2 infects T lymphocytes through its spike protein-mediated membrane fusion,”	https://www.nature.com/articles/s41423-020-0424-9	https://doi.org/10.1038/s41423-020-0424-9
“SARS-CoV-2 was Unexpectedly Deadlier than Push-scooters: Could Hydroxychloroquine be the Unique Solution?”	https://www.journalajmah.com/index.php/AJMAH/article/view/30232 N/A
“Selenium-associated gene signatures within the SARS-CoV-2-host genomic interaction interface,”	https://www.sciencedirect.com/science/article/pii/S0891584920311503?via%3Dihub	https://doi.org/10.1016/j.freeradbiomed.2020.07.014
“Smoking Prevalence is Low in Symptomatic Patients Admitted for COVID-19.”	https://www.medrxiv.org/content/10.1101/2020.05.05.20092015v1?versioned=true https://doi.org/10.1101/2020.05.05.20092015
“Subsegmental Thrombus in COVID-19 Pneumonia: Immuno-Thrombosis or Pulmonary Embolism? Data Analysis of Hospitalized Patients with Coronavirus Disease,”	https://www.sciencedirect.com/science/article/pii/S1443950620304352	https://doi.org/10.1016/j.hlc.2020.08.003
“The early cryptic transmission and evolution of SARS-CoV-2 in human hosts,”	https://retractionwatch.com/wp-content/uploads/2020/12/SSRN-id3724275.pdf	N/A
“Treatment Response to Hydroxychloroquine, Lopinavir/Ritonavir, and Antibiotics for Moderate COVID 19: A First Report on the Pharmacological Outcomes from South Korea”	https://www.medrxiv.org/content/10.1101/2020.05.13.20094193v1?versioned=true	https://doi.org/10.1101/2020.05.13.20094193
“Uncanny similarity of unique inserts in the 2019-nCoV spike protein to HIV-1 gp120 and Gag,”	https://www.biorxiv.org/content/10.1101/2020.01.30.927871v2 https://doi.org/10.1101/2020.01.30.927871
“Usefulness of Ivermectin in COVID-19 Illness,”	https://www.isglobal.org/documents/10179/6022921/Patel+et+al.+2020+version+2.pdf/adf390e0-7099-4c70-91d0-e0f7a0b69e14 N/A
“The Role of Vitamin D in Suppressing Cytokine Storm in COVID-19 Patients and Associated Mortality,”	https://www.medrxiv.org/content/10.1101/2020.04.08.20058578v2?versioned=true https://doi.org/10.1101/2020.04.08.20058578
“Vitamin D Level of Mild and Severe Elderly Cases of COVID-19: A Preliminary Report,”	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3593258 N/A
“Vitamin D supplementation could possibly improve clinical outcomes of patients infected with Coronavirus-2019 (COVID2019),”	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3593258	N/A
